City,State,Start_Lat,Start_Lng,n_acc,n_rows,County
Mount Vernon,OR,44.421451298387105,-119.18659377419355,19,31,Grant
Mount Vernon,WA,48.41890053089784,-122.3577985322715,163,228,Skagit
Mount Victory,OH,40.524007636363635,-83.51268836363637,4,11,Hardin
Mount Washington,KY,38.07233400000001,-85.549278,1,2,Bullitt
Mount Washington,PA,40.418839,-80.013603,1,3,Allegheny
Mount Wolf,PA,40.063250352941175,-76.6893408382353,29,85,York
Mountain Brk,AL,33.47234182023809,-86.76511753333332,18,35,Jefferson
Mountain City,NV,41.831322406375506,-115.97799934863494,15,36,Elko
Mountain City,TN,36.419725,-81.769779,1,3,Johnson
Mountain Home,AR,36.364986448275864,-92.3375858663793,20,58,Baxter
Mountain Home,ID,43.13118844160664,-115.67879814194777,66,84,Elmore
Mountain Home,TX,30.186508428571425,-99.31910385714286,2,7,Kerr
Mountain Home,UT,40.222780920077966,-110.7239092184801,13,27,Duchesne
Mountain Iron,MN,47.49905793979578,-92.66448619031766,40,80,St. Louis
Mountain Lake,MN,43.94400329252115,-94.91978485629342,42,67,Cottonwood
Mountain Lakes,NJ,40.883706545454544,-74.45803354545454,3,11,Morris
Mountain Pine,AR,34.567468,-93.171366,1,4,Garland
Mountain Ranch,CA,38.23135041310262,-120.51067237859698,45,118,Calaveras
Mountain Rest,SC,34.84875831593886,-83.15484845368786,70,186,Oconee
Mountain Top,PA,41.13043502227011,-75.94846604533865,98,131,Luzerne
Mountain View,AR,35.834879479534884,-92.09206799139534,14,43,Stone
Mountain View,CA,37.402691425385605,-122.07058036633256,1250,1550,Santa Clara
Mountainburg,AR,35.622124100010055,-94.18261189922318,20,38,Crawford
Mountainside,NJ,40.676283780921054,-74.34929218552631,26,76,Union
Mountlake Terrace,WA,47.788974075175645,-122.31601554972816,225,244,Snohomish
Mountville,PA,40.04344769391362,-76.4238482571137,130,250,Lancaster
Mountville,SC,34.357341406219966,-81.96268772460265,52,157,Laurens
Mouth Of Wilson,VA,36.6007928,-81.38979259999999,6,15,Grayson
Mouth of Wilson,VA,36.62229252173913,-81.41456995652175,6,23,Grayson
Moville,IA,42.482161,-96.035415,1,4,Woodbury
Moyock,NC,36.475916891304344,-76.09971223671498,18,46,Currituck
Mt Airy,GA,34.57918033999779,-83.46524521361317,10,36,Habersham
Mt Airy,MD,39.36377180357317,-77.15762715775645,82,144,Frederick
Mt Airy,NC,36.484114858235735,-80.65876202136867,35,81,Surry
Mt Aukum,CA,38.549208,-120.734042,1,7,El Dorado
Mt Ayr,IA,40.711101,-94.232011,1,3,Ringgold
Mt Baldy,CA,34.21156724108942,-117.51882668121509,99,143,San Bernardino
Mt Bethel,PA,40.92077298505135,-75.11861322226441,2,8,Northampton
Mt Carmel,IL,38.454794,-87.7668,2,8,Wabash
Mt Carmel,PA,40.794194021482134,-76.4391048637316,17,57,Northumberland
Mt Carmel,SC,33.976912555555565,-82.51841933333334,2,9,McCormick
Mt Carmel,UT,37.233841000000005,-112.67518799999999,2,6,Kane
Mt Clare,WV,39.20788783804565,-80.31308182207349,11,12,Harrison
Mt Crawford,VA,38.35638385467135,-78.92661518740938,72,98,Rockingham
Mt Croghan,SC,34.706370572125344,-80.26574748681625,6,33,Chesterfield
Mt Dora,FL,28.773637499731244,-81.63864274642167,61,188,Lake
Mt Enterprise,TX,31.97019,-94.659172,1,2,Rusk
Mt Ephraim,NJ,39.882013503212136,-75.10230376464247,18,28,Camden
Mt Gilead,NC,35.160304863315915,-80.02181617140049,6,22,Montgomery
Mt Gilead,OH,40.50208267639257,-82.79006662665782,18,29,Morrow
Mt Gretna,PA,40.247735,-76.46985600000002,1,6,Lebanon
Mt Hamilton,CA,37.3572431,-121.75112303333334,4,15,Santa Clara
Mt Hermon,CA,37.04986731818182,-122.05756509090908,5,22,Santa Cruz
Mt Holly,NC,35.30736029166667,-81.04341120833332,6,24,Gaston
Mt Holly,NJ,40.012163022476535,-74.82017764150348,79,109,Burlington
Mt Holly Springs,PA,40.103257,-77.178844,2,3,Cumberland
Mt Hope,WV,37.877035956453106,-81.21507939500731,7,19,Raleigh
Mt Ida,AR,34.55248673076923,-93.52557780769231,8,26,Montgomery
Mt Jackson,VA,38.749427058780945,-78.66649252097608,43,65,Shenandoah
Mt Jewett,PA,41.73558827412737,-78.62657895646139,5,23,McKean
Mt Joy,PA,40.10174395498706,-76.48866311313812,39,127,Lancaster
Mt Judea,AR,35.857684000000006,-93.043763,1,5,Newton
Mt Juliet,TN,36.17925171806336,-86.5284528653584,36,55,Wilson
Mt Kisco,NY,41.20070309558815,-73.71869446788016,50,80,Westchester
Mt Laurel,NJ,39.94717802301891,-74.9345118638371,132,167,Burlington
Mt Lemmon,AZ,32.390383465659816,-110.72114156994446,11,34,Pima
Mt Lookout,WV,38.15470686157549,-80.9170950305105,3,16,Nicholas
Mt Olive,IL,39.067656,-89.75559100000002,2,7,Macoupin
Mt Olive,MS,31.823437666666663,-89.70281966666667,2,9,Simpson
Mt Olive,NC,35.19961268367045,-78.07455668974447,17,74,Wayne
Mt Orab,OH,39.04508288461538,-83.9334841923077,5,13,Brown
Mt Perry,OH,39.853512,-82.139253,1,2,Muskingum
Mt Pleasant,IA,41.034636362755926,-91.55599944769284,8,27,Henry
Mt Pleasant,NC,35.38401700000001,-80.41968974999999,3,12,Cabarrus
Mt Pleasant,PA,40.1643562506636,-79.51965983090649,40,111,Westmoreland
Mt Pleasant,SC,32.8343949993502,-79.85150371432066,63,123,Charleston
Mt Pleasant,TX,33.167655133333334,-94.99921093333334,3,15,Titus
Mt Pleasant,UT,39.534469275862065,-111.50232882758621,9,29,Sanpete
Mt Pleasant Mills,PA,40.714006785383255,-76.99882252256006,8,28,Snyder
Mt Pocono,PA,41.126180625,-75.33878862499998,2,8,Monroe
Mt Prospect,IL,42.06068423913044,-87.93290652173913,6,23,Cook
Mt Shasta,CA,41.305873143133205,-122.30616425397535,61,112,Siskiyou
Mt Sidney,VA,38.25013686181466,-78.96399221841422,27,43,Augusta
Mt Sinai,NY,40.93190769230769,-73.00930030769231,3,13,Suffolk
Mt Solon,VA,38.311614759259264,-79.10843446296296,7,27,Augusta
Mt Sterling,KY,38.079332113084405,-83.94424796064403,1,5,Montgomery
Mt Sterling,OH,39.73341439583333,-83.3053420375,18,40,Madison
Mt Storm,WV,39.268552,-79.237078,1,5,Grant
Mt Tabor,NJ,40.87002700000001,-74.47947450000001,4,8,Morris
Mt Ulla,NC,35.674622,-80.696838,1,2,Rowan
Mt Union,PA,40.380638725541644,-77.88295794983561,19,70,Huntingdon
Mt Vernon,AL,31.144079,-88.00991800000001,1,3,Mobile
Mt Vernon,GA,32.0940055,-82.5442945,2,4,Montgomery
Mt Vernon,IA,41.920227,-91.49778,1,5,Linn
Mt Vernon,IL,38.284115423076926,-88.92426188461538,8,26,Jefferson
Mt Vernon,KY,37.382386695755635,-84.31415639095026,11,12,Rockcastle
Mt Vernon,MO,37.11445474765503,-93.76581817411133,5,5,Lawrence
Mt Vernon,NY,40.922483835949386,-73.82431694811298,97,113,Westchester
Mt Vernon,OH,40.37200766666667,-82.55199875000001,6,24,Knox
Mt Wilson,CA,34.29385377331713,-118.06253036859061,94,112,Los Angeles
Mt Wolf,PA,40.05593465,-76.68220605,5,20,York
Muenster,TX,33.64938166666666,-97.370764,3,9,Cooke
Muir,PA,40.610793,-76.469656,1,3,Schuylkill
Muir Beach,CA,37.863913064516126,-122.57714547580645,18,31,Marin
Mukilteo,WA,47.907561325,-122.29227062499999,6,20,Snohomish
Mukwonago,WI,42.88611360683761,-88.29229694017094,10,39,Waukesha
Mulberry,AR,35.5201976776482,-94.03657645476734,34,63,Crawford
Mulberry,FL,27.88298482147723,-81.99329805316457,57,186,Polk
Mulberry,IN,40.3460955,-86.6339065,4,8,Clinton
Mulberry,TN,35.215979,-86.452108,1,6,Lincoln
Mulberry Grove,IL,38.91222455555556,-89.27393987654321,12,27,Bond
Muldrow,OK,35.393288,-94.597961,1,4,Sequoyah
Muleshoe,TX,34.26749344853333,-102.79637772800001,9,25,Bailey
Mulga,AL,33.550011,-87.099426,1,6,Jefferson
Mulhall,OK,36.057961,-97.345573,2,5,Payne
Mulino,OR,45.22477375819672,-122.57807319262295,38,61,Clackamas
Mullan,ID,47.46360951587388,-115.74840937136035,55,68,Shoshone
Mullen,NE,42.0331363888692,-101.2662890507458,2,3,Hooker
Mullica Hill,NJ,39.720591485018645,-75.18099578040065,46,90,Gloucester
Mullin,TX,31.539124444444447,-98.66873033333334,3,9,Mills
Mullins,SC,34.190873573835674,-79.2644928109997,204,567,Marion
Mullinville,KS,37.586302,-99.443603,1,3,Kiowa
Mumford,NY,42.992302,-77.86021746666665,3,15,Monroe
Muncie,IN,40.21451914914315,-85.36501951532638,54,128,Delaware
Muncy,PA,41.207668862267546,-76.76906584249414,268,562,Lycoming
Muncy Valley,PA,41.34432253242399,-76.57197885975096,28,79,Sullivan
Munday,TX,33.456394,-99.579681,1,5,Knox
Mundelein,IL,42.25717166831125,-88.01717821750397,577,881,Lake
Munds Park,AZ,34.933369652293216,-111.65130916970898,52,64,Coconino
Munford,AL,33.520438026455025,-85.95690832275132,12,27,Talladega
Munford,TN,35.492298,-89.840897,1,2,Tipton
Munfordville,KY,37.29102187559741,-85.92056970171168,5,18,Hart
Munroe Falls,OH,41.139302,-81.439278,1,3,Summit
Munson,PA,40.950915165413534,-78.18384529323308,11,19,Clearfield
Munster,IN,41.57517539748427,-87.52147580377358,31,53,Lake
Murdock,MN,45.18572453029823,-95.42450491223855,16,54,Swift
Murdock,NE,40.914087,-96.238812,1,3,Cass
Murfreesboro,AR,34.12558284210527,-93.66942131578948,4,19,Pike
Murfreesboro,NC,36.412983,-77.147898,1,5,Northampton
Murfreesboro,TN,35.851743674111106,-86.43389811531685,445,521,Rutherford
Murphy,ID,43.33795719426077,-116.72740045136148,10,16,Owyhee
Murphy,NC,35.041815484255864,-84.10871661621974,54,166,Cherokee
Murphy,OR,42.316848,-123.284829,3,11,Josephine
Murphys,CA,38.13697462904505,-120.45232600481121,141,349,Calaveras
Murray,KY,36.606643500000004,-88.384697,6,12,Calloway
Murrells Inlet,SC,33.57724440799969,-79.03097013794292,654,1343,Horry
Murrieta,CA,33.5695289481769,-117.17441477411654,1335,1984,Riverside
Murrysville,PA,40.456825835335145,-79.68044424754804,55,116,Westmoreland
Murtaugh,ID,42.47502100000001,-114.09646399999998,1,3,Twin Falls
Muscadine,AL,33.67257339583333,-85.35342268749999,6,12,Cleburne
Muscatine,IA,41.441338923143014,-91.03445061314025,11,44,Muscatine
Muscle Shoals,AL,34.75568342105263,-87.63130255263158,13,38,Colbert
Muse,PA,40.287891333333334,-80.19991566666666,3,6,Washington
Musella,GA,32.813374752495115,-84.04618328533708,5,16,Crawford
Muskego,WI,42.924432,-88.188867,1,4,Waukesha
Muskegon,MI,43.21187381694585,-86.20846742736552,161,204,Muskegon
Muskogee,OK,35.75191366666667,-95.37223566666667,2,6,Muskogee
Musselshell,MT,46.434951,-108.1054245,2,5,Musselshell
Mustang,OK,35.39891594770889,-97.73328526455525,56,106,Canadian
Myakka City,FL,27.384076493727946,-82.21963793501418,156,357,Manatee
Myers Flat,CA,40.25400072642861,-123.8589921755387,145,247,Humboldt
Myerstown,PA,40.39321148841704,-76.3226611591543,96,234,Lebanon
Myersville,MD,39.511855784302625,-77.58105569065667,322,376,Frederick
Myrtle,MS,34.556511,-89.14160799999998,1,1,Union
Myrtle Beach,SC,33.70769242245879,-78.95012403965208,3458,6072,Horry
Myrtle Creek,OR,43.02122358254549,-123.3325613882662,187,228,Douglas
Myrtle Point,OR,43.01588462734462,-124.03835537163668,83,122,Coos
Mystic,CT,41.37281646973439,-71.97458093008302,59,72,New London
Myton,UT,40.190133249999995,-110.09667539285714,10,28,Duchesne
Naches,WA,46.712017825432355,-121.01664980390314,18,32,Yakima
Nacogdoches,TX,31.592830125000003,-94.65153530555556,7,36,Nacogdoches
Nageezi,NM,36.259074,-107.628441,1,3,San Juan
Nags Head,NC,35.90012579992452,-75.61349846782808,4,9,Dare
Nahunta,GA,31.190819,-82.071533,1,7,Brantley
Nakina,NC,34.14746533333333,-78.67468019047618,5,21,Columbus
Nampa,ID,43.60271774684291,-116.55725646262862,378,480,Canyon
Nanjemoy,MD,38.4426766407048,-77.25245236281759,5,14,Charles
Nanty Glo,PA,40.46748802888563,-78.82650644449329,42,137,Cambria
Nanuet,NY,41.102488915287,-74.01425753664554,582,683,Rockland
Napa,CA,38.31377622741128,-122.28865235479384,1660,2538,Napa
Naperville,IL,41.77923459921585,-88.1517065731676,334,678,DuPage
Naples,FL,26.213931802503033,-81.70850152592595,1517,2494,Collier
Naples,ME,43.985440909090904,-70.61098727272727,3,11,Cumberland
Naples,TX,33.210812,-94.672234,9,14,Morris
Napoleon,IN,39.206843,-85.330585,1,3,Ripley
Napoleon,ND,46.515423,-99.747928,1,6,Logan
Napoleon,OH,41.402796595666665,-84.15080455283334,20,40,Henry
Nappanee,IN,41.503324678461546,-86.00160712923078,6,13,Elkhart
Nara Visa,NM,35.559102,-103.168285,1,4,Quay
Narberth,PA,40.02564340016781,-75.25588088339049,240,395,Montgomery
Narragansett,RI,41.453178,-71.442802,1,4,Washington
Narrows,VA,37.32120419117988,-80.87199703665645,15,27,Giles
Narrowsburg,NY,41.619879,-75.05049433333332,2,12,Sullivan
Narvon,PA,40.12337094964139,-75.96505480139805,68,179,Lancaster
Naselle,WA,46.30444343999999,-123.84978193333332,14,25,Pacific
Nashport,OH,40.046064634615384,-82.12992640384616,5,13,Muskingum
Nashua,IA,42.975699,-92.563656,1,2,Floyd
Nashua,MN,46.035937,-96.34860399999998,1,3,Wilkin
Nashua,MT,48.11511273359095,-106.29909901846813,14,25,Valley
Nashua,NH,42.754885981227574,-71.47986340246379,83,206,Hillsborough
Nashville,AR,34.00729892592593,-93.86884653703703,14,27,Howard
Nashville,GA,31.20067540885815,-83.29466431773957,5,23,Berrien
Nashville,IL,38.39732940653878,-89.37337361708937,14,25,Washington
Nashville,MI,42.55564212778779,-85.122773050856,2,12,Barry
Nashville,NC,35.954065452948996,-77.9634115179735,68,123,Nash
Nashville,TN,36.14332896530659,-86.76754938841731,23837,30849,Davidson
Nashwauk,MN,47.38114108163265,-93.13024604421769,10,21,Itasca
Nassau,NY,42.49788908973181,-73.62017607686992,111,186,Rensselaer
Nassawadox,VA,37.46650603849248,-75.86409613695841,14,26,Northampton
Natalia,TX,29.184690000000003,-98.84497800000001,1,3,Medina
Natchez,MS,31.555980377420866,-91.30861018978892,4,24,Adams
Natchitoches,LA,31.728585999999996,-93.156311,1,3,Natchitoches
Nathalie,VA,36.947391196816504,-78.99276390979584,24,73,Halifax
Nathrop,CO,38.704893962254665,-106.08905436211244,9,19,Chaffee
Natick,MA,42.30793866818313,-71.36385368200754,28,57,Middlesex
National City,CA,32.66715514106983,-117.0905888248235,1218,1546,San Diego
Natrona Heights,PA,40.64380705892603,-79.72540187438159,28,73,Allegheny
Natural Bridge,VA,37.6491619488315,-79.5401825617992,140,174,Rockbridge
Natural Bridge Station,VA,37.6339,-79.5262,1,4,Rockbridge
Natural Dam,AR,35.66857800000001,-94.418502,1,7,Crawford
Naubinway,MI,46.089197187150816,-85.3611837599271,14,54,Mackinac
Naugatuck,CT,41.495273120612815,-73.04915161226478,77,117,New Haven
Nauvoo,AL,33.964524822704746,-87.42748463301643,39,84,Walker
Naval Anacost Annex,DC,38.860676,-77.003456,1,6,District of Columbia
Navarre,FL,30.413641620736282,-86.87635482544937,523,1132,Santa Rosa
Navarre,OH,40.70849364705882,-81.55180782352942,5,17,Stark
Navarro,CA,39.15442585926459,-123.54644179285262,1,9,Mendocino
Navasota,TX,30.398736692307693,-96.08368876923078,7,26,Grimes
Naylor,GA,30.88380217537458,-83.14140915831021,1,5,Lowndes
Naytahwaush,MN,47.323895,-95.636891,1,5,Mahnomen
Nazareth,PA,40.75705510152782,-75.30372977212706,29,77,Northampton
Nebo,NC,35.67278387594061,-81.89825311943554,31,88,McDowell
Nebo,WV,38.59508146373112,-81.05636753248446,11,16,Clay
Nebraska City,NE,40.62933540241023,-95.8751463332323,8,27,Otoe
Nederland,TX,29.982246363636364,-93.99683381818181,2,11,Jefferson
Nedrow,NY,42.96611425537595,-76.13688025254392,16,30,Onondaga
Needham,MA,42.27472073597044,-71.22481791791967,35,73,Norfolk
Needham Heights,MA,42.29964005413441,-71.22386463428336,61,98,Norfolk
Needles,CA,34.748875153530335,-114.5804515553207,218,301,San Bernardino
Needmore,PA,39.805340816091956,-78.13923422988506,12,29,Fulton
Needville,TX,29.400614625000003,-95.81628942500001,8,40,Fort Bend
Neelyton,PA,40.12448494345919,-77.84095505879908,21,44,Huntingdon
Neenah,WI,44.205804405758656,-88.48677865081174,89,135,Winnebago
Neeses,SC,33.52488388762168,-81.10726631261441,88,233,Orangeburg
Negaunee,MI,46.504212714285714,-87.55303928571428,2,7,Marquette
Nehalem,OR,45.71665050295888,-123.8178842278997,71,133,Tillamook
Neihart,MT,46.928808858675865,-110.73044653833975,7,27,Cascade
Neillsville,WI,44.51858469565217,-90.58542704347826,5,23,Clark
Nekoosa,WI,44.32911566666667,-89.94266733333333,3,18,Wood
Neligh,NE,42.12811800000001,-98.04086487500001,3,4,Antelope
Nellysford,VA,37.898240888888886,-78.86280355555556,3,18,Nelson
Nelson,MO,38.952643696507735,-93.08163041539596,25,35,Saline
Nelson,PA,41.970248,-77.192779,2,6,Tioga
Nelson,VA,36.566264473684214,-78.70613021052633,3,19,Mecklenburg
Nelson,WI,44.427630154365666,-92.01431174993792,2,11,Buffalo
Nelsonville,OH,39.43815572916667,-82.2192641388889,13,36,Athens
Nemaha,IA,42.553415666666666,-95.15098466666666,3,5,Sac
Neodesha,KS,37.41447728615385,-95.71009720153846,3,13,Wilson
Neoga,IL,39.32468125,-88.436955125,13,24,Cumberland
Neola,IA,41.47613754613215,-95.61404629573069,28,48,Pottawattamie
Neosho,MO,36.87322504201591,-94.42353859785234,7,17,Newton
Neotsu,OR,45.006234,-123.979878,1,9,Lincoln
Nephi,UT,39.60397466798076,-111.92008206757917,360,433,Juab
Neptune,NJ,40.213227452357394,-74.06747675662636,120,201,Monmouth
Neptune Beach,FL,30.315727857142857,-81.41163571428571,3,14,Duval
Neptune City,NJ,40.22274801792212,-74.08103220340728,85,119,Monmouth
Nerstrand,MN,44.37591422390537,-93.05958373717577,6,27,Rice
Nesbit,MS,34.883513143228676,-89.9884276176024,54,96,DeSoto
Nesconset,NY,40.85322625030232,-73.14577184784234,29,58,Suffolk
Nescopeck,PA,41.0230462120556,-76.2514907365149,77,142,Columbia
Neshanic Station,NJ,40.53809257142857,-74.76472528571428,3,14,Hunterdon
Neskowin,OR,45.079618601390784,-123.88053806392175,64,89,Tillamook
Nesmith,SC,33.670871733333335,-79.54884367575757,21,66,Williamsburg
Nespelem,WA,48.381167,-119.540533,2,6,Okanogan
Nesquehoning,PA,40.8613004,-75.8248112,2,10,Carbon
Netawaka,KS,39.696382,-95.730241,1,4,Brown
Netcong,NJ,40.89221012026843,-74.70309719810004,40,58,Morris
Nettie,WV,38.228641,-80.70517,1,3,Nicholas
Nevada,IA,42.00775896551725,-93.45634881609195,15,29,Story
Nevada,MO,37.910689,-94.349056,1,4,Vernon
Nevada,OH,40.8099942,-83.1443098,3,10,Wyandot
Nevada,TX,33.08054,-96.424347,1,3,Collin
Nevada City,CA,39.28865779775676,-121.00272981278403,551,1021,Nevada
Neversink,NY,41.83053016642651,-74.6369397636669,2,4,Sullivan
